depth_mm,dedx_MeVmm,energy_MeV,material
0.005000,2711.5185,34706.4437,E
0.010000,2712.1701,34692.8842,E
0.015000,2712.8223,34679.3214,E
0.020000,2713.4751,34665.7553,E
0.025000,2714.1285,34652.1860,E
0.030000,2714.7824,34638.6133,E
0.035000,2715.4369,34625.0375,E
0.040000,2716.0919,34611.4583,E
0.045000,2716.7475,34597.8759,E
0.050000,2717.4038,34584.2902,E
0.055000,2718.0605,34570.7012,E
0.060000,2718.7179,34557.1089,E
0.065000,2158.7529,34546.3160,G
0.070000,2159.1800,34535.5210,G
0.075000,2159.6074,34524.7238,G
0.080000,2160.0350,34513.9245,G
0.085000,2160.4630,34503.1230,G
0.090000,2160.8913,34492.3194,G
0.095000,2161.3199,34481.5137,G
0.100000,2161.7488,34470.7058,G
0.105000,2162.1779,34459.8958,G
0.110000,2162.6074,34449.0836,G
0.115000,2163.0372,34438.2692,G
0.120000,2163.4674,34427.4528,G
0.125000,2163.8978,34416.6341,G
0.130000,2164.3285,34405.8134,G
0.135000,2164.7595,34394.9904,G
0.140000,2165.1909,34384.1653,G
0.145000,2165.6225,34373.3381,G
0.150000,2166.0545,34362.5087,G
0.155000,2166.4867,34351.6771,G
0.160000,2166.9193,34340.8434,G
0.165000,2167.3522,34330.0075,G
0.170000,2167.7854,34319.1694,G
0.175000,2168.2189,34308.3292,G
0.180000,2168.6527,34297.4868,G
0.185000,2169.0868,34286.6422,G
0.190000,2169.5212,34275.7955,G
0.195000,2169.9560,34264.9466,G
0.200000,2170.3910,34254.0955,G
0.205000,2170.8264,34243.2422,G
0.210000,2171.2621,34232.3868,G
0.215000,2171.6981,34221.5292,G
0.220000,2172.1344,34210.6694,G
0.225000,2172.5710,34199.8074,G
0.230000,2173.0079,34188.9432,G
0.235000,2173.4452,34178.0769,G
0.240000,2173.8827,34167.2083,G
0.245000,2174.3206,34156.3376,G
0.250000,2174.7588,34145.4647,G
0.255000,2175.1973,34134.5896,G
0.260000,2175.6362,34123.7123,G
0.265000,2176.0753,34112.8328,G
0.270000,2176.5148,34101.9511,G
0.275000,2176.9546,34091.0672,G
0.280000,2177.3947,34080.1811,G
0.285000,2177.8351,34069.2928,G
0.290000,2178.2758,34058.4023,G
0.295000,2178.7169,34047.5096,G
0.300000,2179.1583,34036.6147,G
0.305000,2179.6000,34025.7176,G
0.310000,2180.0420,34014.8183,G
0.315000,2180.4843,34003.9167,G
0.320000,2180.9270,33993.0130,G
0.325000,2181.3700,33982.1070,G
0.330000,2181.8133,33971.1988,G
0.335000,2182.2569,33960.2884,G
0.340000,2182.7009,33949.3758,G
0.345000,2183.1451,33938.4610,G
0.350000,2183.5897,33927.5439,G
0.355000,2184.0346,33916.6246,G
0.360000,2184.4799,33905.7031,G
0.365000,2184.9255,33894.7794,G
0.370000,2185.3714,33883.8534,G
0.375000,2185.8176,33872.9252,G
0.380000,2186.2641,33861.9948,G
0.385000,2186.7110,33851.0621,G
0.390000,2187.1582,33840.1273,G
0.395000,2187.6058,33829.1901,G
0.400000,2188.0536,33818.2507,G
0.405000,2188.5018,33807.3091,G
0.410000,2188.9503,33796.3653,G
0.415000,2189.3992,33785.4192,G
0.420000,2189.8483,33774.4708,G
0.425000,2190.2979,33763.5202,G
0.430000,2190.7477,33752.5674,G
0.435000,2191.1979,33741.6123,G
0.440000,2191.6484,33730.6550,G
0.445000,2192.0992,33719.6954,G
0.450000,2192.5503,33708.7335,G
0.455000,2193.0018,33697.7694,G
0.460000,2193.4537,33686.8031,G
0.465000,2193.9058,33675.8344,G
0.470000,2194.3583,33664.8636,G
0.475000,2194.8112,33653.8904,G
0.480000,2195.2643,33642.9150,G
0.485000,2195.7178,33631.9373,G
0.490000,2196.1717,33620.9574,G
0.495000,2196.6258,33609.9751,G
0.500000,2197.0803,33598.9906,G
0.505000,2197.5352,33588.0039,G
0.510000,2197.9904,33577.0148,G
0.515000,2198.4459,33566.0235,G
0.520000,2198.9017,33555.0299,G
0.525000,2199.3579,33544.0340,G
0.530000,2199.8145,33533.0359,G
0.535000,2200.2713,33522.0354,G
0.540000,2200.7286,33511.0327,G
0.545000,2201.1861,33500.0277,G
0.550000,2201.6440,33489.0204,G
0.555000,2202.1022,33478.0108,G
0.560000,2202.5608,33466.9989,G
0.565000,2203.0197,33455.9847,G
0.570000,2203.4790,33444.9683,G
0.575000,2203.9386,33433.9495,G
0.580000,2204.3986,33422.9284,G
0.585000,2204.8589,33411.9050,G
0.590000,2205.3195,33400.8794,G
0.595000,2205.7805,33389.8514,G
0.600000,2206.2418,33378.8211,G
0.605000,2206.7035,33367.7885,G
0.610000,2207.1655,33356.7536,G
0.615000,2207.6279,33345.7164,G
0.620000,2208.0906,33334.6769,G
0.625000,2208.5536,33323.6350,G
0.630000,2209.0170,33312.5909,G
0.635000,2209.4808,33301.5444,G
0.640000,2209.9449,33290.4956,G
0.645000,2210.4093,33279.4445,G
0.650000,2210.8741,33268.3910,G
0.655000,2211.3393,33257.3353,G
0.660000,2211.8048,33246.2772,G
0.665000,2212.2707,33235.2167,G
0.670000,2212.7369,33224.1540,G
0.675000,2213.2034,33213.0889,G
0.680000,2213.6703,33202.0215,G
0.685000,2214.1376,33190.9517,G
0.690000,2214.6052,33179.8796,G
0.695000,2215.0732,33168.8052,G
0.700000,2215.5415,33157.7284,G
0.705000,2216.0102,33146.6493,G
0.710000,2216.4792,33135.5679,G
0.715000,2216.9486,33124.4841,G
0.720000,2217.4183,33113.3979,G
0.725000,2217.8884,33102.3094,G
0.730000,2218.3589,33091.2186,G
0.735000,2218.8297,33080.1254,G
0.740000,2219.3009,33069.0298,G
0.745000,2219.7724,33057.9319,G
0.750000,2220.2443,33046.8316,G
0.755000,2220.7166,33035.7290,G
0.760000,2221.1892,33024.6240,G
0.765000,2221.6622,33013.5166,G
0.770000,2222.1355,33002.4069,G
0.775000,2222.6092,32991.2948,G
0.780000,2223.0832,32980.1803,G
0.785000,2223.5576,32969.0635,G
0.790000,2224.0324,32957.9442,G
0.795000,2224.5076,32946.8227,G
0.800000,2224.9831,32935.6987,G
0.805000,2225.4589,32924.5724,G
0.810000,2225.9352,32913.4436,G
0.815000,2226.4118,32902.3125,G
0.820000,2226.8887,32891.1790,G
0.825000,2227.3661,32880.0432,G
0.830000,2227.8438,32868.9049,G
0.835000,2228.3218,32857.7642,G
0.840000,2228.8003,32846.6212,G
0.845000,2229.2791,32835.4758,G
0.850000,2229.7582,32824.3279,G
0.855000,2230.2378,32813.1777,G
0.860000,2230.7177,32802.0251,G
0.865000,2231.1979,32790.8700,G
0.870000,2231.6786,32779.7126,G
0.875000,2232.1596,32768.5528,G
0.880000,2232.6410,32757.3905,G
0.885000,2233.1228,32746.2259,G
0.890000,2233.6049,32735.0588,G
0.895000,2234.0874,32723.8893,G
0.900000,2234.5703,32712.7175,G
0.905000,2235.0535,32701.5432,G
0.910000,2235.5372,32690.3664,G
0.915000,2236.0212,32679.1873,G
0.920000,2236.5055,32668.0057,G
0.925000,2236.9903,32656.8218,G
0.930000,2237.4754,32645.6354,G
0.935000,2237.9609,32634.4465,G
0.940000,2238.4468,32623.2553,G
0.945000,2238.9331,32612.0616,G
0.950000,2239.4197,32600.8654,G
0.955000,2239.9067,32589.6669,G
0.960000,2240.3941,32578.4659,G
0.965000,2240.8819,32567.2625,G
0.970000,2241.3701,32556.0566,G
0.975000,2241.8586,32544.8483,G
0.980000,2242.3475,32533.6375,G
0.985000,2242.8368,32522.4243,G
0.990000,2243.3265,32511.2086,G
0.995000,2243.8166,32499.9905,G
1.000000,2244.3070,32488.7700,G
1.005000,2244.7979,32477.5470,G
1.010000,2245.2891,32466.3215,G
1.015000,2245.7807,32455.0936,G
1.020000,2246.2727,32443.8632,G
1.025000,2246.7650,32432.6304,G
1.030000,2247.2578,32421.3951,G
1.035000,2247.7510,32410.1573,G
1.040000,2248.2445,32398.9171,G
1.045000,2248.7384,32387.6744,G
1.050000,2249.2327,32376.4292,G
1.055000,2249.7274,32365.1815,G
1.060000,2250.2225,32353.9314,G
1.065000,2250.7180,32342.6788,G
1.070000,2251.2139,32331.4237,G
1.075000,2251.7102,32320.1662,G
1.080000,2252.2068,32308.9062,G
1.085000,2252.7039,32297.6436,G
1.090000,2253.2013,32286.3786,G
1.095000,2253.6991,32275.1111,G
1.100000,2254.1974,32263.8411,G
1.105000,2254.6960,32252.5686,G
1.110000,2255.1950,32241.2937,G
1.115000,2255.6944,32230.0162,G
1.120000,2256.1942,32218.7362,G
1.125000,2256.6944,32207.4537,G
1.130000,2257.1951,32196.1688,G
1.135000,2257.6961,32184.8813,G
1.140000,2258.1975,32173.5913,G
1.145000,2258.6993,32162.2988,G
1.150000,2259.2015,32151.0038,G
1.155000,2259.7041,32139.7063,G
1.160000,2260.2071,32128.4063,G
1.165000,2260.7105,32117.1037,G
1.170000,2261.2143,32105.7987,G
1.175000,2261.7185,32094.4911,G
1.180000,2262.2231,32083.1810,G
1.185000,2262.7281,32071.8683,G
1.190000,2263.2335,32060.5532,G
1.195000,2263.7393,32049.2355,G
1.200000,2264.2455,32037.9153,G
1.205000,2264.7522,32026.5925,G
1.210000,2265.2592,32015.2673,G
1.215000,2265.7666,32003.9394,G
1.220000,2266.2745,31992.6091,G
1.225000,2266.7827,31981.2762,G
1.230000,2267.2914,31969.9407,G
1.235000,2267.8005,31958.6028,G
1.240000,2268.3100,31947.2622,G
1.245000,2268.8199,31935.9192,G
1.250000,2269.3302,31924.5735,G
1.255000,2269.8409,31913.2253,G
1.260000,2270.3520,31901.8746,G
1.265000,2270.8635,31890.5213,G
1.270000,2271.3755,31879.1655,G
1.275000,2271.8879,31867.8070,G
1.280000,2272.4006,31856.4461,G
1.285000,2272.9138,31845.0825,G
1.290000,2273.4274,31833.7164,G
1.295000,2273.9415,31822.3477,G
1.300000,2274.4559,31810.9765,G
1.305000,2274.9708,31799.6027,G
1.310000,2275.4860,31788.2263,G
1.315000,2276.0017,31776.8473,G
1.320000,2276.5178,31765.4657,G
1.325000,2277.0344,31754.0816,G
1.330000,2277.5513,31742.6949,G
1.335000,2278.0687,31731.3056,G
1.340000,2278.5865,31719.9137,G
1.345000,2279.1047,31708.5192,G
1.350000,2279.6233,31697.1221,G
1.355000,2280.1424,31685.7224,G
1.360000,2280.6619,31674.3201,G
1.365000,2281.1818,31662.9153,G
1.370000,2281.7021,31651.5078,G
1.375000,2282.2229,31640.0977,G
1.380000,2282.7440,31628.6851,G
1.385000,2283.2656,31617.2698,G
1.390000,2283.7877,31605.8519,G
1.395000,2284.3101,31594.4314,G
1.400000,2284.8330,31583.0083,G
1.405000,2285.3563,31571.5825,G
1.410000,2285.8801,31560.1542,G
1.415000,2286.4043,31548.7232,G
1.420000,2286.9289,31537.2896,G
1.425000,2287.4539,31525.8534,G
1.430000,2287.9794,31514.4145,G
1.435000,2288.5053,31502.9731,G
1.440000,2289.0316,31491.5290,G
1.445000,2289.5584,31480.0822,G
1.450000,2290.0856,31468.6328,G
1.455000,2290.6132,31457.1808,G
1.460000,2291.1413,31445.7262,G
1.465000,2291.6698,31434.2689,G
1.470000,2292.1988,31422.8090,G
1.475000,2292.7282,31411.3464,G
1.480000,2293.2580,31399.8811,G
1.485000,2293.7882,31388.4133,G
1.490000,2294.3189,31376.9427,G
1.495000,2294.8501,31365.4695,G
1.500000,2295.3817,31353.9937,G
1.505000,2295.9137,31342.5152,G
1.510000,2296.4461,31331.0340,G
1.515000,2296.9791,31319.5502,G
1.520000,2297.5124,31308.0637,G
1.525000,2298.0462,31296.5745,G
1.530000,2298.5804,31285.0827,G
1.535000,2299.1151,31273.5882,G
1.540000,2299.6502,31262.0910,G
1.545000,2300.1858,31250.5912,G
1.550000,2300.7218,31239.0886,G
1.555000,2301.2583,31227.5834,G
1.560000,2301.7952,31216.0755,G
1.565000,2302.3326,31204.5649,G
1.570000,2302.8704,31193.0516,G
1.575000,2303.4086,31181.5357,G
1.580000,2303.9474,31170.0170,G
1.585000,2304.4865,31158.4957,G
1.590000,2305.0261,31146.9716,G
1.595000,2305.5662,31135.4449,G
1.600000,2306.1067,31123.9154,G
1.605000,2306.6477,31112.3832,G
1.610000,2307.1891,31100.8484,G
1.615000,2307.7310,31089.3108,G
1.620000,2308.2734,31077.7705,G
1.625000,2308.8162,31066.2275,G
1.630000,2309.3594,31054.6818,G
1.635000,2309.9031,31043.1334,G
1.640000,2310.4473,31031.5823,G
1.645000,2310.9919,31020.0284,G
1.650000,2311.5370,31008.4718,G
1.655000,2312.0826,30996.9125,G
1.660000,2312.6286,30985.3504,G
1.665000,2313.1751,30973.7856,G
1.670000,2313.7220,30962.2181,G
1.675000,2314.2694,30950.6479,G
1.680000,2314.8173,30939.0749,G
1.685000,2315.3656,30927.4991,G
1.690000,2315.9144,30915.9207,G
1.695000,2316.4637,30904.3394,G
1.700000,2317.0134,30892.7555,G
1.705000,2317.5636,30881.1688,G
1.710000,2318.1142,30869.5793,G
1.715000,2318.6654,30857.9871,G
1.720000,2319.2170,30846.3921,G
1.725000,2319.7690,30834.7943,G
1.730000,2320.3216,30823.1938,G
1.735000,2320.8746,30811.5906,G
1.740000,2321.4281,30799.9845,G
1.745000,2321.9820,30788.3757,G
1.750000,2322.5365,30776.7642,G
1.755000,2323.0914,30765.1498,G
1.760000,2323.6467,30753.5327,G
1.765000,2324.2026,30741.9128,G
1.770000,2324.7589,30730.2901,G
1.775000,2325.3157,30718.6647,G
1.780000,2325.8730,30707.0364,G
1.785000,2326.4308,30695.4054,G
1.790000,2326.9890,30683.7715,G
1.795000,2327.5478,30672.1349,G
1.800000,2328.1070,30660.4955,G
1.805000,2328.6666,30648.8533,G
1.810000,2329.2268,30637.2083,G
1.815000,2329.7875,30625.5605,G
1.820000,2330.3486,30613.9098,G
1.825000,2330.9102,30602.2564,G
1.830000,2331.4723,30590.6002,G
1.835000,2332.0349,30578.9411,G
1.840000,2332.5980,30567.2793,G
1.845000,2333.1615,30555.6146,G
1.850000,2333.7256,30543.9471,G
1.855000,2334.2901,30532.2768,G
1.860000,2334.8552,30520.6036,G
1.865000,2335.4207,30508.9276,G
1.870000,2335.9867,30497.2488,G
1.875000,2336.5532,30485.5672,G
1.880000,2337.1202,30473.8827,G
1.885000,2337.6876,30462.1954,G
1.890000,2338.2556,30450.5053,G
1.895000,2338.8241,30438.8123,G
1.900000,2339.3931,30427.1165,G
1.905000,2339.9625,30415.4178,G
1.910000,2340.5325,30403.7163,G
1.915000,2341.1029,30392.0119,G
1.920000,2341.6739,30380.3047,G
1.925000,2342.2453,30368.5946,G
1.930000,2342.8173,30356.8817,G
1.935000,2343.3897,30345.1659,G
1.940000,2343.9627,30333.4472,G
1.945000,2344.5362,30321.7257,G
1.950000,2345.1101,30310.0013,G
1.955000,2345.6846,30298.2740,G
1.960000,2346.2595,30286.5438,G
1.965000,2346.8350,30274.8108,G
1.970000,2347.4110,30263.0749,G
1.975000,2347.9875,30251.3361,G
1.980000,2348.5645,30239.5944,G
1.985000,2349.1419,30227.8499,G
1.990000,2349.7200,30216.1025,G
1.995000,2350.2985,30204.3521,G
2.000000,2350.8775,30192.5989,G
2.005000,2351.4570,30180.8428,G
2.010000,2352.0371,30169.0837,G
2.015000,2352.6176,30157.3218,G
2.020000,2353.1987,30145.5570,G
2.025000,2353.7803,30133.7892,G
2.030000,2354.3624,30122.0186,G
2.035000,2354.9450,30110.2450,G
2.040000,2355.5282,30098.4686,G
2.045000,2356.1118,30086.6892,G
2.050000,2356.6960,30074.9069,G
2.055000,2357.2807,30063.1216,G
2.060000,2357.8659,30051.3335,G
2.065000,2963.4992,30036.5178,E
2.070000,2964.3987,30021.6976,E
2.075000,2965.2991,30006.8729,E
2.080000,2966.2006,29992.0437,E
2.085000,2967.1031,29977.2100,E
2.090000,2968.0065,29962.3717,E
2.095000,2968.9109,29947.5290,E
2.100000,2969.8164,29932.6817,E
2.105000,2970.7228,29917.8299,E
2.110000,2971.6303,29902.9736,E
2.115000,2972.5387,29888.1127,E
2.120000,2973.4482,29873.2473,E
2.125000,2367.3462,29861.4117,G
2.130000,2367.9404,29849.5732,G
2.135000,2368.5352,29837.7317,G
2.140000,2369.1305,29825.8873,G
2.145000,2369.7263,29814.0398,G
2.150000,2370.3226,29802.1894,G
2.155000,2370.9195,29790.3360,G
2.160000,2371.5169,29778.4796,G
2.165000,2372.1149,29766.6203,G
2.170000,2372.7134,29754.7579,G
2.175000,2373.3124,29742.8925,G
2.180000,2373.9120,29731.0242,G
2.185000,2374.5122,29719.1528,G
2.190000,2375.1128,29707.2784,G
2.195000,2375.7140,29695.4011,G
2.200000,2376.3158,29683.5207,G
2.205000,2376.9181,29671.6373,G
2.210000,2377.5210,29659.7509,G
2.215000,2378.1244,29647.8615,G
2.220000,2378.7283,29635.9691,G
2.225000,2379.3328,29624.0736,G
2.230000,2379.9379,29612.1751,G
2.235000,2380.5435,29600.2736,G
2.240000,2381.1496,29588.3691,G
2.245000,2381.7563,29576.4615,G
2.250000,2382.3636,29564.5509,G
2.255000,2382.9714,29552.6373,G
2.260000,2383.5798,29540.7206,G
2.265000,2384.1887,29528.8009,G
2.270000,2384.7982,29516.8781,G
2.275000,2385.4082,29504.9523,G
2.280000,2386.0188,29493.0234,G
2.285000,2386.6300,29481.0915,G
2.290000,2387.2417,29469.1565,G
2.295000,2387.8540,29457.2184,G
2.300000,2388.4668,29445.2773,G
2.305000,2389.0802,29433.3332,G
2.310000,2389.6942,29421.3859,G
2.315000,2390.3087,29409.4356,G
2.320000,2390.9238,29397.4822,G
2.325000,2391.5395,29385.5257,G
2.330000,2392.1558,29373.5662,G
2.335000,2392.7726,29361.6036,G
2.340000,2393.3899,29349.6379,G
2.345000,2394.0079,29337.6691,G
2.350000,2394.6264,29325.6972,G
2.355000,2395.2455,29313.7222,G
2.360000,2395.8652,29301.7441,G
2.365000,2396.4854,29289.7629,G
2.370000,2397.1062,29277.7786,G
2.375000,2397.7276,29265.7912,G
2.380000,2398.3496,29253.8007,G
2.385000,2398.9721,29241.8071,G
2.390000,2399.5952,29229.8104,G
2.395000,2400.2190,29217.8105,G
2.400000,2400.8432,29205.8076,G
2.405000,2401.4681,29193.8015,G
2.410000,2402.0936,29181.7922,G
2.415000,2402.7196,29169.7799,G
2.420000,2403.3462,29157.7644,G
2.425000,2403.9734,29145.7458,G
2.430000,2404.6012,29133.7241,G
2.435000,2405.2296,29121.6992,G
2.440000,2405.8585,29109.6711,G
2.445000,2406.4881,29097.6400,G
2.450000,2407.1182,29085.6056,G
2.455000,2407.7490,29073.5681,G
2.460000,2408.3803,29061.5275,G
2.465000,2409.0122,29049.4837,G
2.470000,2409.6447,29037.4367,G
2.475000,2410.2778,29025.3866,G
2.480000,2410.9115,29013.3333,G
2.485000,2411.5458,29001.2769,G
2.490000,2412.1807,28989.2172,G
2.495000,2412.8162,28977.1544,G
2.500000,2413.4523,28965.0884,G
2.505000,2414.0890,28953.0193,G
2.510000,2414.7263,28940.9469,G
2.515000,2415.3642,28928.8714,G
2.520000,2416.0027,28916.7926,G
2.525000,2416.6419,28904.7107,G
2.530000,2417.2816,28892.6256,G
2.535000,2417.9219,28880.5372,G
2.540000,2418.5628,28868.4457,G
2.545000,2419.2044,28856.3510,G
2.550000,2419.8465,28844.2530,G
2.555000,2420.4893,28832.1519,G
2.560000,2421.1326,28820.0475,G
2.565000,2421.7766,28807.9399,G
2.570000,2422.4212,28795.8291,G
2.575000,2423.0664,28783.7150,G
2.580000,2423.7123,28771.5978,G
2.585000,2424.3587,28759.4773,G
2.590000,2425.0058,28747.3535,G
2.595000,2425.6535,28735.2266,G
2.600000,2426.3018,28723.0963,G
2.605000,2426.9507,28710.9629,G
2.610000,2427.6002,28698.8262,G
2.615000,2428.2504,28686.6862,G
2.620000,2428.9012,28674.5430,G
2.625000,2429.5526,28662.3966,G
2.630000,2430.2046,28650.2469,G
2.635000,2430.8573,28638.0939,G
2.640000,2431.5106,28625.9376,G
2.645000,2432.1645,28613.7781,G
2.650000,2432.8191,28601.6153,G
2.655000,2433.4742,28589.4493,G
2.660000,2434.1301,28577.2799,G
2.665000,2434.7865,28565.1073,G
2.670000,2435.4436,28552.9314,G
2.675000,2436.1013,28540.7522,G
2.680000,2436.7597,28528.5697,G
2.685000,2437.4187,28516.3840,G
2.690000,2438.0783,28504.1949,G
2.695000,2438.7386,28492.0025,G
2.700000,2439.3995,28479.8068,G
2.705000,2440.0610,28467.6079,G
2.710000,2440.7232,28455.4056,G
2.715000,2441.3861,28443.2000,G
2.720000,2442.0495,28430.9910,G
2.725000,2442.7137,28418.7788,G
2.730000,2443.3784,28406.5632,G
2.735000,2444.0439,28394.3443,G
2.740000,2444.7099,28382.1221,G
2.745000,2445.3767,28369.8966,G
2.750000,2446.0440,28357.6677,G
2.755000,2446.7121,28345.4355,G
2.760000,2447.3808,28333.1999,G
2.765000,2448.0501,28320.9610,G
2.770000,2448.7201,28308.7187,G
2.775000,2449.3907,28296.4731,G
2.780000,2450.0620,28284.2242,G
2.785000,2450.7340,28271.9718,G
2.790000,2451.4066,28259.7161,G
2.795000,2452.0799,28247.4571,G
2.800000,2452.7539,28235.1947,G
2.805000,2453.4285,28222.9289,G
2.810000,2454.1038,28210.6597,G
2.815000,2454.7797,28198.3872,G
2.820000,2455.4563,28186.1112,G
2.825000,2456.1336,28173.8319,G
2.830000,2456.8115,28161.5492,G
2.835000,2457.4902,28149.2631,G
2.840000,2458.1695,28136.9736,G
2.845000,2458.8494,28124.6807,G
2.850000,2459.5301,28112.3845,G
2.855000,2460.2114,28100.0848,G
2.860000,2460.8934,28087.7817,G
